date,open,high,low,close,amout,vol,str07
20220216,43.11,48.8,41.8,42.2,1222657024.0,27417206,65536
20220217,43.6,46.0,42.66,45.16,753787328.0,16938935,65536
20220218,44.6,44.88,41.5,42.54,422386144.0,9813816,65536
20220221,43.3,47.45,42.19,46.65,486903680.0,10875157,65536
20220222,46.48,48.59,44.3,45.51,317161600.0,6818364,65536
20220223,45.56,47.34,44.21,46.5,273015616.0,5953305,65536
20220224,45.51,48.26,44.52,46.9,244420192.0,5271475,65536
20220225,47.24,49.88,45.5,46.1,287505760.0,6017773,65536
20220228,45.0,50.1,44.26,50.1,284411712.0,5936857,65536
20220301,49.98,50.7,46.62,49.32,241603840.0,5009324,65536
20220302,48.25,49.2,47.42,47.82,103248720.0,2141270,65536
20220303,47.65,48.3,46.33,47.74,125119408.0,2648204,65536
20220304,48.1,48.2,46.16,46.64,113871416.0,2421149,65536
20220307,46.06,46.36,43.33,44.2,121253160.0,2737434,65536
20220308,43.0,44.67,42.63,43.42,79177264.0,1811556,65536
20220309,44.0,46.0,42.42,44.26,95980552.0,2168426,65536
20220310,45.8,45.8,43.72,44.26,81283416.0,1826477,65536
20220311,44.06,44.06,41.86,42.88,70165080.0,1649023,65536
20220314,42.47,42.62,41.08,41.52,43212404.0,1030200,65536
20220315,41.18,41.88,39.9,39.91,32380300.0,792474,65536
20220316,40.99,42.32,38.01,41.6,79350080.0,1974871,65536
20220317,40.52,42.65,40.5,40.65,43915892.0,1059923,65536
20220318,40.41,41.29,39.57,40.48,33983024.0,841114,65536
20220321,40.06,41.19,39.82,41.08,25063156.0,615860,65536
20220322,41.99,43.39,41.6,41.74,43659264.0,1033941,65536
20220323,41.83,42.88,40.81,42.54,37057924.0,883506,65536
20220324,41.62,42.33,40.88,41.3,20373820.0,491068,65536
20220325,40.5,41.48,40.35,41.33,20040188.0,489970,65536
20220328,40.55,41.58,39.8,40.3,7783457.0,193209,65536
20220329,40.57,40.57,38.3,39.2,30113748.0,772216,65536
20220330,39.5,39.68,38.0,38.3,31534468.0,818151,65536
20220331,38.3,38.3,35.01,36.97,110268072.0,3037001,65536
20220401,36.21,36.99,34.6,36.11,50730824.0,1411363,65536
20220406,36.0,37.93,35.35,36.03,38547524.0,1053077,65536
20220407,36.0,36.0,34.71,35.02,21909164.0,622120,65536
20220408,35.74,35.74,34.32,34.66,18992574.0,542961,65536
20220411,34.66,34.66,31.99,31.99,31421160.0,960911,65536
20220412,32.42,32.42,31.01,31.03,52754336.0,1675351,65536
20220413,31.05,31.75,30.0,30.21,29138276.0,951554,65536
20220414,30.37,30.64,29.54,29.82,35781640.0,1190154,65536
20220415,29.4,30.12,29.05,29.19,27561184.0,927782,65536
20220418,29.21,30.44,28.16,30.12,47968584.0,1637474,65536
20220419,29.84,30.56,29.8,29.97,12824673.0,427095,65536
20220420,29.61,30.16,29.3,29.71,14340432.0,482404,65536
20220421,29.55,29.71,28.2,28.32,19759908.0,686663,65536
20220422,28.12,28.63,27.5,27.5,15543102.0,557538,65536
20220425,27.2,28.23,25.81,26.28,43523488.0,1627528,65536
20220426,26.46,26.96,24.2,24.2,54048436.0,2144198,65536
20220427,23.8,26.14,23.46,25.75,40948760.0,1659889,65536
20220428,25.02,26.52,24.8,26.35,40008028.0,1542762,65536
20220429,26.79,28.99,26.62,28.23,35483832.0,1272746,65536
20220505,27.97,29.7,27.7,27.88,37141512.0,1291148,65536
20220506,27.3,28.37,26.66,27.82,28422502.0,1026417,65536
20220509,27.7,28.36,26.2,27.27,29951148.0,1104878,65536
20220510,26.59,27.46,26.33,27.3,18364474.0,680747,65536
20220511,26.68,30.4,26.68,28.82,43760980.0,1510501,65536
20220512,28.93,29.37,28.1,28.87,19616882.0,680264,65536
20220513,28.83,29.2,28.1,28.25,13606539.0,477786,65536
20220516,28.88,28.88,28.0,28.4,14896011.0,526992,65536
20220517,28.33,30.45,28.12,29.29,36121184.0,1220682,65536
20220518,29.3,29.7,28.65,28.86,20365252.0,704267,65536
20220519,28.0,30.28,27.68,29.87,25000246.0,852882,65536
20220520,30.3,32.35,29.96,32.03,43879668.0,1397507,65536
20220523,31.9,34.12,31.31,33.51,51340008.0,1555775,65536
20220524,34.0,35.48,33.2,33.3,82048256.0,2399131,65536
20220525,33.68,35.4,33.48,33.91,38316664.0,1109900,65536
20220526,33.5,35.3,33.28,34.49,26957352.0,781912,65536
20220527,34.51,35.48,34.3,35.1,30756374.0,880213,65536
20220530,35.46,36.3,34.3,35.9,29104708.0,823931,65536
20220531,36.8,40.17,36.0,39.09,71852192.0,1876571,65536
20220601,39.09,39.09,36.78,37.8,54501592.0,1446699,65536
20220602,37.99,40.65,37.29,39.79,50576400.0,1281240,65536
20220606,40.0,41.68,39.2,41.19,58822512.0,1454055,65536
20220607,40.51,41.1,38.01,39.27,55689604.0,1428079,65536
20220608,39.5,39.5,35.42,37.2,58432004.0,1571071,65536
20220609,37.2,37.41,36.02,36.58,36520928.0,996901,65536
20220610,36.01,38.07,36.0,37.66,32013916.0,852846,65536
20220613,38.35,38.35,36.36,37.6,29862958.0,804110,65536
20220614,36.6,37.99,35.48,35.95,32213664.0,887983,65536
20220615,35.95,37.04,35.3,36.09,35448704.0,978146,65536
20220616,36.0,38.98,35.66,38.31,57969100.0,1520904,65536
20220617,37.89,39.6,37.57,39.02,40160044.0,1031132,65536
20220620,40.19,40.19,37.01,37.77,28901204.0,765717,65536
20220621,36.35,37.76,36.35,37.76,15505548.0,418504,65536
20220622,36.51,37.77,36.51,37.0,21470298.0,581939,65536
20220623,37.12,39.23,37.12,38.26,64232764.0,1680827,65536
20220624,38.2,38.35,37.08,37.5,18851610.0,500807,65536
20220627,37.93,37.93,35.57,36.08,70395952.0,1947482,65536
20220628,36.98,36.98,35.18,35.47,41096416.0,1158028,65536
20220629,35.49,35.5,33.83,33.99,39650392.0,1156166,65536
20220630,33.52,34.58,32.86,33.43,63663220.0,1907656,65536
20220701,33.16,33.43,31.85,31.98,38418340.0,1183269,65536
20220704,32.0,33.25,31.0,32.84,25020452.0,768150,65536
20220705,32.85,33.0,31.49,32.02,18542896.0,577403,65536
20220706,31.11,32.98,31.1,32.96,23794960.0,732821,65536
20220707,32.28,34.7,32.28,34.63,33936636.0,998271,65536
20220708,34.05,35.39,34.05,34.63,18685608.0,537872,65536
20220711,34.05,34.28,32.99,33.22,14324195.0,427209,65536
20220712,33.35,33.35,32.22,32.84,10803422.0,330857,65536
20220713,32.84,33.47,32.29,33.19,5488827.0,166619,65536
20220714,32.75,35.38,32.75,34.47,31337502.0,904054,65536
20220715,35.35,35.55,33.85,34.29,15604635.0,447792,65536
20220718,33.61,33.97,32.26,32.8,35601396.0,1079690,65536
20220719,32.56,35.95,32.56,34.6,46908248.0,1350920,65536
20220720,34.42,34.76,33.33,34.17,20922006.0,619865,65536
20220721,33.98,36.03,33.98,35.1,31122176.0,879301,65536
20220722,35.1,35.8,34.3,35.6,23819136.0,683022,65536
20220725,35.05,36.26,34.17,34.5,13586065.0,387166,65536
20220726,34.5,35.98,33.5,35.1,13928167.0,398146,65536
20220727,35.1,36.37,34.5,36.18,22375318.0,623985,65536
20220728,35.82,36.18,35.61,35.77,12529772.0,349244,65536
20220729,36.13,36.3,34.68,35.14,28548448.0,808160,65536
20220801,34.74,35.73,34.33,34.33,20867480.0,597114,65536
20220802,33.99,34.64,32.2,32.8,16383729.0,496701,65536
20220803,32.44,33.83,32.44,32.85,14633091.0,440866,65536
20220804,34.58,34.8,32.71,33.63,15441780.0,461370,65536
20220805,33.5,34.25,32.0,32.9,43666276.0,1330227,65536
20220808,32.68,33.49,31.9,33.08,32541952.0,1007462,65536
20220809,32.85,35.0,32.85,33.65,21326170.0,625616,65536
20220810,33.67,36.9,33.0,36.81,53500628.0,1506042,65536
20220811,36.57,37.38,36.1,36.61,39481828.0,1074211,65536
20220812,36.0,36.91,34.34,34.84,39551932.0,1122966,65536
20220815,34.84,35.53,33.69,34.15,37401328.0,1088866,65536
20220816,34.04,34.29,32.5,33.59,41776244.0,1245900,65536
20220817,33.02,33.59,32.64,32.85,26646924.0,808746,65536
20220818,33.05,33.74,32.28,33.16,28295024.0,857765,65536
20220819,33.28,33.68,32.31,32.45,26978726.0,825761,65536
20220822,32.01,34.49,32.0,34.18,40997516.0,1227241,65536
20220823,33.57,35.7,33.53,35.29,46943208.0,1340556,65536
20220824,34.94,35.45,33.0,33.08,23574646.0,698750,65536
20220825,33.08,34.08,32.33,32.68,15755331.0,482177,65536
20220826,32.66,33.34,32.38,32.66,9396740.0,286877,65536
20220829,32.21,33.09,32.1,32.58,11018110.0,338450,65536
20220830,32.34,32.84,31.51,31.95,27720910.0,866497,65536
20220831,31.82,32.26,31.0,31.6,29494620.0,934707,65536
20220901,31.2,31.8,31.2,31.49,7626281.0,241781,65536
20220902,32.16,32.2,30.66,31.32,13399476.0,427891,65536
20220905,31.42,31.98,30.7,30.95,21642404.0,693545,65536
20220906,31.31,33.58,30.16,32.5,40014124.0,1240964,65536
20220907,31.9,32.62,31.7,31.91,23667974.0,736626,65536
20220908,31.95,32.49,30.52,30.84,31445412.0,1016169,65536
20220909,30.56,31.3,30.42,30.75,9640912.0,313204,65536
20220913,30.5,31.73,30.2,31.42,18989776.0,614626,65536
20220914,30.71,31.05,30.21,30.73,16897876.0,552619,65536
20220915,30.8,31.6,30.56,31.3,18886856.0,609626,65536
20220916,31.23,32.15,30.79,31.48,12778278.0,404015,65536
20220919,31.94,31.94,30.66,31.31,13051926.0,419004,65536
20220920,31.03,32.9,30.9,32.56,29647208.0,922838,65536
20220921,32.1,33.28,31.72,32.9,29803480.0,914679,65536
20220922,32.81,32.92,30.98,31.6,51220044.0,1622450,65536
20220923,31.6,31.6,30.11,30.94,52956384.0,1716201,65536
20220926,30.94,31.65,30.03,31.1,22561406.0,723839,65536
20220927,31.0,32.5,30.83,32.3,13111354.0,412631,65536
20220928,32.25,32.79,31.8,31.91,14174089.0,437217,65536
20220929,32.49,32.49,31.33,31.94,8709858.0,272652,65536
20220930,31.66,31.9,30.8,31.2,15237727.0,486220,65536
20221010,31.21,31.31,30.3,30.84,7207741.0,234544,65536
20221011,30.2,31.1,30.2,30.39,4018614.0,131706,65536
20221012,30.0,30.88,29.81,30.87,10808874.0,357030,65536
20221013,30.8,31.72,30.52,31.14,10533294.0,336846,65536
20221014,30.78,31.32,30.56,30.98,18999954.0,615694,65536
20221017,30.68,32.5,30.68,32.32,23112540.0,729709,65536
20221018,32.28,33.37,32.02,32.49,21743860.0,663820,65536
20221019,33.18,33.18,30.99,31.04,23034480.0,733086,65536
20221020,31.29,32.5,30.9,31.58,10309193.0,324225,65536
20221021,32.36,36.88,32.0,36.24,83634080.0,2375935,65536
20221024,36.05,40.59,35.66,39.89,113995152.0,2981963,65536
20221025,39.5,40.17,37.05,37.3,84680592.0,2211467,65536
20221026,37.13,38.06,36.66,37.3,54488520.0,1462272,65536
20221027,37.67,37.97,35.26,35.61,41949996.0,1164426,65536
20221028,34.88,37.11,34.0,35.69,57869660.0,1611338,65536
20221031,34.86,37.48,34.86,35.83,25417944.0,701626,65536
20221101,35.61,37.38,35.61,36.6,24252276.0,664856,65536
20221102,36.6,39.87,36.0,37.55,80112688.0,2100477,65536
20221103,38.77,45.06,36.69,42.68,158319232.0,3812477,65536
20221104,42.67,44.91,40.51,42.6,190477344.0,4456235,65536
20221107,42.69,43.95,41.2,41.66,149854016.0,3503711,65536
20221108,41.96,43.22,41.01,41.26,109864576.0,2608935,65536
20221109,41.37,43.19,40.0,42.47,79371968.0,1896830,65536
20221110,42.4,43.58,41.0,41.6,48254776.0,1149797,65536
20221111,44.0,44.0,39.66,40.35,73674480.0,1798626,65536
20221114,39.55,42.3,36.99,41.18,114410544.0,2928983,65536
20221115,40.52,44.2,39.7,42.98,119962288.0,2803997,65536
20221116,42.98,42.98,40.51,41.09,68772504.0,1665532,65536
20221117,41.09,42.85,40.1,41.86,49819852.0,1196068,65536
20221118,42.43,44.99,41.26,43.76,102686544.0,2352020,65536
20221121,44.99,47.4,44.71,46.1,109960144.0,2385336,65536
20221122,46.09,46.1,42.24,42.67,149001168.0,3431185,65536
20221123,42.67,42.99,39.91,41.23,77674096.0,1886468,65536
20221124,41.39,43.38,41.0,41.96,63097480.0,1488251,65536
20221125,41.96,42.18,40.2,40.35,39534144.0,966114,65536
20221128,40.07,40.99,39.66,39.97,27349388.0,679767,65536
20221129,39.47,40.88,39.14,40.2,30261944.0,753197,65536
20221130,40.02,41.7,40.02,41.01,20518396.0,499406,65536
20221201,41.71,42.78,40.5,42.18,36765800.0,874484,65536
20221202,41.88,42.5,40.9,41.44,15530789.0,374381,65536
20221205,42.22,42.22,40.23,40.9,36274764.0,884704,65536
20221206,41.75,42.38,40.36,41.42,37174776.0,893121,65536
20221207,41.7,41.7,40.81,41.01,16263039.0,395764,65536
20221208,40.6,41.77,40.1,41.4,21010108.0,511188,65536
20221209,41.76,41.79,39.57,39.67,29804096.0,735228,65536
20221212,39.8,40.32,38.7,39.0,14401357.0,366354,65536
20221213,38.27,40.4,38.2,38.51,26627514.0,680536,65536
20221214,38.51,39.3,37.66,37.68,13494989.0,352715,65536
20221215,37.07,39.5,37.07,38.65,16208149.0,420085,65536
20221216,38.1,38.95,36.7,36.83,9987881.0,267336,65536
20221219,37.33,37.33,35.91,36.45,17017310.0,468466,65536
20221220,35.42,36.45,35.3,35.35,12761055.0,359039,65536
20221221,35.65,35.92,34.51,34.73,11402152.0,326415,65536
20221222,34.65,35.58,34.3,34.74,16483384.0,472631,65536
20221223,34.71,34.99,33.58,33.61,13650487.0,399932,65536
20221226,34.05,37.34,34.05,37.1,32466932.0,906106,65536
20221227,37.3,38.36,36.51,38.12,25561908.0,676727,65536
20221228,39.07,39.07,36.5,36.5,14000008.0,378048,65536
20221229,36.08,37.38,35.87,36.2,12780893.0,348554,65536
20221230,36.26,37.48,36.02,37.04,13203335.0,357630,65536
20230103,36.7,38.5,36.7,38.43,17864802.0,473742,65536
20230104,39.2,39.94,37.69,39.63,25962092.0,667986,65536
20230105,39.49,40.81,39.0,39.93,12093893.0,303100,65536
20230106,39.5,39.93,38.48,38.54,11867226.0,303644,65536
20230109,38.1,39.56,38.0,38.5,8581378.0,221343,65536
20230110,38.84,39.98,38.26,38.93,11522741.0,294733,65536
20230111,38.97,38.97,37.33,37.45,13218105.0,349368,65536
20230112,37.45,37.83,36.8,37.44,8804992.0,236920,65536
20230113,37.8,38.1,36.75,36.88,10640354.0,284231,65536
20230116,36.8,38.26,36.8,37.66,8167076.0,216452,65536
20230117,38.07,38.18,37.1,37.4,9088289.0,243053,65536
20230118,37.4,38.0,36.98,37.33,7976445.0,213596,65536
20230119,34.1,38.38,34.1,37.84,11986638.0,318043,65536
20230120,37.77,38.55,37.77,38.0,6064186.0,158952,65536
20230130,38.14,39.35,37.66,38.79,12526076.0,324747,65536
20230131,38.41,39.16,37.65,37.89,9871245.0,259244,65536
20230201,37.22,39.5,37.21,37.97,7612456.0,200088,65536
20230202,37.5,39.27,37.5,37.83,19107068.0,498285,65536
20230203,37.83,38.0,36.69,37.41,14719826.0,395886,65536
20230206,37.0,37.98,36.7,37.0,14134201.0,380438,65536
20230207,37.3,37.47,36.62,37.19,11121263.0,301297,65536
20230208,37.0,37.7,36.72,36.9,7059893.0,190448,65536
20230209,36.6,38.54,36.6,38.0,36763296.0,971933,65536
20230210,38.02,38.55,37.51,38.01,12495068.0,328345,65536
20230213,38.13,39.66,38.12,38.85,23164208.0,594298,65536
20230214,38.69,39.05,37.32,37.45,37543240.0,988918,65536
20230215,37.55,37.76,36.91,37.1,20951860.0,562745,65536
20230216,37.25,40.0,37.25,39.51,73691168.0,1895322,65536
20230217,39.48,39.78,37.82,38.3,75660120.0,1956725,65536
20230220,38.11,39.6,37.3,39.6,87002480.0,2249608,65536
20230221,39.46,39.8,37.21,38.08,62801892.0,1640719,65536
20230222,37.45,38.05,37.35,37.82,23098198.0,612587,65536
20230223,38.07,38.69,37.49,38.0,27911356.0,733809,65536
20230224,39.66,41.67,37.89,38.08,171637616.0,4401035,65536
20230227,38.1,38.28,35.68,35.81,91378040.0,2470354,65536
20230228,36.19,36.19,32.77,34.91,128332208.0,3776305,65536
20230301,34.9,35.18,33.87,34.13,89395040.0,2605643,65536
20230302,34.17,34.89,33.6,34.29,61163184.0,1786292,65536
20230303,34.48,34.9,33.62,34.18,46416216.0,1359130,65536
20230306,34.23,35.68,34.0,34.89,64575736.0,1850641,65536
20230307,34.89,36.6,34.54,35.25,65663448.0,1843014,65536
20230308,35.0,35.45,34.16,35.3,44746832.0,1283651,65536
20230309,34.95,35.94,34.71,35.26,33765528.0,952298,65536
20230310,34.7,35.72,34.46,35.2,28337836.0,810043,65536
20230313,34.85,35.26,34.14,34.88,41557704.0,1196688,65536
20230314,33.5,34.48,33.5,34.1,35167376.0,1032932,65536
20230315,34.1,34.5,33.3,33.38,28955536.0,854372,65536
20230316,33.1,34.1,33.1,33.46,36463056.0,1084784,65536
20230317,33.48,34.06,33.2,33.41,31257346.0,932809,65536
20230320,33.41,34.0,33.2,33.84,29233232.0,868242,65536
20230321,33.72,33.99,33.28,33.8,32815164.0,977943,65536
20230322,33.8,34.38,33.63,33.83,27226996.0,800779,65536
20230323,33.76,35.35,33.53,34.72,36007392.0,1036239,65536
20230324,34.91,34.91,33.41,33.68,34042104.0,1004280,65536
20230327,33.74,33.74,32.15,32.41,46752364.0,1433840,65536
20230328,32.42,32.69,31.33,31.72,41908044.0,1316921,65536
20230329,31.7,32.09,31.2,31.54,28932340.0,912724,65536
20230330,31.52,31.79,31.02,31.57,20658676.0,660486,65536
20230331,31.63,32.16,31.63,31.84,20952224.0,655970,65536
20230403,31.84,32.45,31.84,32.43,20269668.0,627360,65536
20230404,32.53,32.53,31.85,32.42,16763921.0,521481,65536
20230406,32.11,32.11,30.5,30.66,66042936.0,2122062,65536
20230407,30.68,31.18,30.36,30.47,63611504.0,2076319,65536
20230410,30.31,30.96,29.03,29.14,66948800.0,2251150,65536
20230411,29.13,29.41,28.45,28.7,82795400.0,2883848,0
