date,open,high,low,close,amout,vol,str07
20211231,2.04,2.45,2.04,2.45,4182026.0,1713158,65536
20220104,2.7,2.7,2.7,2.7,935569.0,346507,65536
20220105,2.97,2.97,2.97,2.97,725366.0,244231,65536
20220106,3.27,3.27,3.27,3.27,951200.0,290887,65536
20220107,3.6,3.6,3.6,3.6,1346634.0,374065,65536
20220110,3.96,3.96,3.96,3.96,1877590.0,474139,65536
20220111,4.36,4.36,4.36,4.36,2268831.0,520374,65536
20220112,4.8,4.8,4.8,4.8,3796301.0,790896,65536
20220113,5.28,5.28,5.28,5.28,7232148.0,1369725,65536
20220114,5.81,5.81,5.81,5.81,8058412.0,1386990,65536
20220117,6.39,6.39,6.39,6.39,4566505.0,714633,65536
20220118,7.03,7.03,7.03,7.03,4249044.0,604416,65536
20220119,7.73,7.73,7.73,7.73,5000947.0,646953,65536
20220120,8.5,8.5,8.5,8.5,35301564.0,4153125,65536
20220121,9.35,9.35,9.35,9.35,18773968.0,2007911,65536
20220124,10.29,10.29,10.29,10.29,234537392.0,22792749,65536
20220125,11.31,11.32,11.02,11.32,603896448.0,53504458,65536
20220126,11.39,11.89,10.19,10.19,541024000.0,49329596,65536
20220127,9.17,11.21,9.17,10.1,784609920.0,80312234,65536
20220128,9.5,9.78,9.09,9.09,476740864.0,50902460,65536
20220207,9.14,10.0,9.14,10.0,362831936.0,36929432,65536
20220208,11.0,11.0,11.0,11.0,24259544.0,2205413,65536
20220209,12.1,12.1,12.1,12.1,23905268.0,1975642,65536
20220210,12.6,13.31,11.6,13.31,1110172800.0,85750906,65536
20220211,12.5,14.64,11.98,14.64,941050944.0,70024588,65536
20220214,14.5,16.05,13.2,13.55,1250179712.0,84513770,65536
20220215,12.2,13.96,12.2,12.4,807390656.0,64219306,65536
20220216,12.07,13.64,12.07,13.64,740209280.0,57823616,65536
20220217,12.96,13.38,12.4,12.42,627952384.0,49131421,65536
20220218,11.8,12.77,11.32,12.07,498089344.0,41726583,65536
20220221,11.94,12.05,11.63,11.77,404798048.0,34404544,65536
20220222,11.56,12.79,11.53,12.41,609194816.0,49355042,65536
20220223,11.93,12.37,11.44,11.99,461984768.0,39336755,65536
20220224,11.64,11.67,10.79,10.81,407599296.0,36574155,65536
20220225,10.76,11.19,10.37,10.48,278932992.0,26021551,65536
20220228,10.55,10.58,9.86,10.08,230942160.0,22966317,65536
