date,open,high,low,close,amout,vol,str07
20211227,1002.01,1038.93,994.31,1015.47,25535887360.0,6836421,393231
20211228,1022.28,1095.4,1022.28,1091.15,41861279744.0,10845312,21
20211229,1089.69,1137.03,1089.54,1106.21,46778654720.0,12655305,327695
20211230,1111.75,1119.75,1090.5,1095.63,34328602624.0,10385190,983046
20211231,1106.11,1142.65,1104.31,1140.13,41201623040.0,11938214,65556
20220104,1155.77,1159.37,1072.11,1078.35,47523852288.0,14065700,1179651
20220105,1068.11,1069.45,1033.73,1040.23,30432129024.0,9311332,1376256
20220106,1030.94,1085.57,1023.66,1073.68,33466116096.0,9666669,21
20220107,1064.32,1067.65,1007.66,1007.66,35230945280.0,11052231,1376256
20220110,1005.87,1037.73,1000.37,1019.6,27056220160.0,8065553,458767
20220111,1017.88,1028.85,993.88,1004.26,38664265728.0,9437213,1310728
20220112,1034.4,1041.46,1016.95,1036.72,47966814208.0,10053565,655378
20220113,1038.55,1039.21,1002.28,1007.31,43499270144.0,9800987,1703938
20220114,998.09,1021.5,996.21,1015.79,32093626368.0,7471877,655376
20220117,1012.4,1028.2,1002.88,1023.43,34790125568.0,7857637,786448
20220118,1019.0,1029.44,1009.98,1020.92,28602296320.0,7274536,851981
20220119,1016.59,1016.59,956.85,966.49,40731668480.0,8939475,1638401
20220120,959.87,961.45,934.16,938.73,34525716480.0,8778996,1638401
20220121,939.64,964.33,925.97,947.04,29275035648.0,8105938,458771
20220124,937.78,1002.81,937.2,995.93,45212684288.0,12389675,25
20220125,990.05,1003.73,972.76,972.76,40099905536.0,9716997,1572866
20220126,988.88,993.22,965.25,983.25,31122632704.0,7568320,720910
20220127,990.13,998.52,961.32,961.4,32533362688.0,7615564,1376260
20220128,966.39,973.21,926.48,940.04,34922004480.0,7395786,1179655
20220207,974.26,992.25,951.15,959.6,35059920896.0,7290062,327700
20220208,958.35,958.35,905.42,933.26,31323475968.0,6822413,1376260
20220209,936.45,963.62,919.59,960.9,36386750464.0,8825927,25
20220210,964.68,966.56,934.36,946.77,32846159872.0,7749230,917514
20220211,939.22,979.84,925.54,947.45,44582469632.0,10666488,458769
20220214,940.03,978.44,934.31,959.36,35989393408.0,8212130,393235
20220215,964.83,984.5,949.13,984.45,34876125184.0,7599957,131095
20220216,999.6,1013.8,984.11,988.31,37185413120.0,8355034,458770
20220217,988.0,1051.75,983.67,1040.86,66686832640.0,16198891,65560
20220218,1024.33,1040.71,1023.11,1030.19,41393172480.0,10098402,1048585
20220221,1029.94,1046.32,1020.86,1036.99,43666964480.0,10099245,393235
20220222,1055.82,1064.91,1039.68,1061.65,57682219008.0,12848391,196630
20220223,1064.63,1089.01,1061.28,1087.73,59469963264.0,13134775,393235
20220224,1069.88,1081.58,1032.86,1053.51,63287414784.0,14688280,1572865
20220225,1077.06,1094.07,1069.13,1077.88,50478272512.0,11511588,131095
20220228,1079.67,1103.58,1074.97,1099.33,51280461824.0,11719093,65558
20220301,1102.24,1102.54,1051.46,1065.63,60984123392.0,13489492,1245189
20220302,1060.7,1068.65,1044.37,1059.88,40791613440.0,10285939,786444
20220303,1064.09,1066.94,1041.35,1045.23,42505220096.0,10572609,1310724
20220304,1031.7,1051.21,1008.59,1014.39,45143265280.0,9353979,1441794
20220307,1009.42,1016.07,989.16,995.22,39054540800.0,8002079,1114119
20220308,995.97,1003.72,919.08,926.08,55381524480.0,11388787,1572864
20220309,925.13,927.73,873.07,918.36,42854817792.0,9523620,1048584
20220310,955.13,962.67,929.51,950.81,51126534144.0,10337918,131094
20220311,924.7,946.93,909.71,944.8,38302760960.0,8022513,1179654
20220314,926.94,940.74,915.0,915.5,34998501376.0,7759650,1376259
20220315,899.79,942.41,898.91,902.38,43592171520.0,8991881,1310724
20220316,926.93,960.84,899.11,957.04,59040309248.0,12229257,24
20220317,979.47,993.29,957.39,960.23,62458400768.0,12536966,851979
20220318,954.95,961.91,940.14,960.87,38377861120.0,7907254,786444
20220321,963.5,1001.85,957.66,983.71,47176798208.0,9039511,524304
20220322,979.91,1005.51,971.94,986.23,36483735552.0,7889031,524304
20220323,995.71,997.07,973.2,979.99,31546521600.0,6635150,1310724
